Cod Art,Cod Unico Art,Desc Art,Desc Marca Art,Desc Familia Art,Cod Barra Art
9231,,CAF-ELEC CA8131 MOD,ATMA,CAFETERAS (ELECTRIC),
8992,Sin Codigo Unico,CARTUCHO 10N0026 (C),LEXMARK,CARTUCHOS,
8991,Sin Codigo Unico,CARTUCHO 10N0016 (C),LEXMARK,CARTUCHOS,
8979,Sin Codigo Unico,WEB CAM PC 300,CREATIVE LABS,CAM VIDEOCONFERENCIA,
8978,Sin Codigo Unico,WEB CAM GO ES,CREATIVE LABS,CAM VIDEOCONFERENCIA,
8933,Sin Codigo Unico,AURICULAR STEREO CHE215,PHILIPS,AURICULARES,
8932,Sin Codigo Unico,AURICULAR ESTEREO CHE030,PHILIPS,AURICULARES,
8931,Sin Codigo Unico,AURICULAR INALAM.CHC070,PHILIPS,AURICULARES,
8930,Sin Codigo Unico,AURICULAR SBCHL135 CASCO,PHILIPS,AURICULARES,
8929,Sin Codigo Unico,AURICULAR SBCH381 CASCO,PHILIPS,AURICULARES,
8823,Sin Codigo Unico,WEB CAM DEXXA,DEXXA,CAM VIDEOCONFERENCIA,
8778,Sin Codigo Unico,CAM.DIG. DSC-P50,SONY,CAMARAS DIGITALES,
8734,Sin Codigo Unico,CAM.DIG. A-20,CANON,CAMARAS DIGITALES,
8733,Sin Codigo Unico,CAM.DIG. A-10,CANON,CAMARAS DIGITALES,
8687,Sin Codigo Unico,CAM.DIG. DSC-P1,SONY,CAMARAS DIGITALES,
8672,Sin Codigo Unico,CAM.DIG. MVC-FD92,SONY,CAMARAS DIGITALES,
8671,Sin Codigo Unico,CAM.DIG. DSC-P20,SONY,CAMARAS DIGITALES,
8670,R-00008670-C,MOD FILM KX-FA 76,PANASONIC,CARTUCHOS,
8619,Sin Codigo Unico,CAM.DIG. KODAK DC-3400,KODAK,CAMARAS DIGITALES,
8541,Sin Codigo Unico,C.DIG. LV-10,CASIO,CAMARAS DIGITALES,
8481,Sin Codigo Unico,QUICKCAM USB WEB,LOGITECH,CAM VIDEOCONFERENCIA,
8480,Sin Codigo Unico,QUICKCAM USB PRO 3000,LOGITECH,CAM VIDEOCONFERENCIA,
8465,Sin Codigo Unico,CAM.DIG. PHOTOSMART 315,HP,CAMARAS DIGITALES,
8464,Sin Codigo Unico,CAM.DIG. PHOTOSMART 215,HP,CAMARAS DIGITALES,
8395,Sin Codigo Unico,NO USAR,SENSORMATIC,ALARMAS ELECTRONICAS,
8380,Sin Codigo Unico,WEB CAM TOUCH FUN USB,PHILIPS,CAM VIDEOCONFERENCIA,
8363,Sin Codigo Unico,CAM.DIG. MVC-FD75,SONY,CAMARAS DIGITALES,
82888,R-00082888-G,C.DIG FZ51 BLACK TDF,KODAK,CAMARAS DIGITALES,819900010411;08199
82887,R-00082887-G,MOD C.DIG FZ41 BLACK TDF,KODAK,CAMARAS DIGITALES,0819900010077
82886,R-00082886-G,LG OPTIM P712 L7 2 BCO LI,LG,CELULARES LIBRES,7798083388698;
82884,R-00082884-G,C.DIG GALAXY CAM WHI WIFI,SAMSUNG,CAMARAS DIGITALES,8806085607903;
82883,R-00082883-G,C.DIG GALAXY CAM BCK WIFI,SAMSUNG,CAMARAS DIGITALES,8806085607910;
82879,R-00082879-G,NOKIA LUMIA 720 NEG LIBRE,NOKIA,CELULARES LIBRES,
82878,R-00082878-G,NOKIA LUMIA 720 BCO LIBRE,NOKIA,CELULARES LIBRES,
82868,R-00080958-G,AFE SERIES 170S1 -C,BRAUN,AFEITADORAS,
82865,R-00082865-G,AUR.MDR-ZX300/LQU,SONY,AURICULARES,027242807815;
82864,R-00082864-G,AUR.MDR-EX37B/YCU,SONY,AURICULARES,027242840430
82862,R-00082862-G,AUR.MDR-EX37B/RCU,SONY,AURICULARES,027242840423;
82861,R-00082861-G,AUR.MDR-EX37B/LCU,SONY,AURICULARES,027242840447;
