Cod Art,Desc Art,Desc Marca Art,Desc Familia Art,Cod Barra Art,Cod Unico Art,Cod Pro Id
9231,CAF-ELEC CA8131 MOD,ATMA,CAFETERAS (ELECTRIC),,,0
8993,28887 BUSINESS CARD 120UN,AVERY,ETIQUETAS,,Sin Codigo Unico,0
8983,TEL.I.KXTC1503(900+CC)MOD,PANASONIC,TELEF.INALAMBRICOS,,Sin Codigo Unico,0
8974,TEL.INAL.TG2553,PANASONIC,TELEF.INALAMBRICOS,,Sin Codigo Unico,0
8970,SERV E-800,HP,COMPUTADORAS,,Sin Codigo Unico,0
8957,SDW GAMEPAD USB (NEG) MOD,MICROSOFT,JOYSTICKS,,Sin Codigo Unico,0
8918,IMP OPTRA E312L,LEXMARK,IMPRESORAS,,Sin Codigo Unico,0
8909,"COMP P4 1,4GHZ 256MB CDXP",COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8871,AUDIO DVD-MP3 HT-70,PANASONIC,SISTEMA DE AUDIO,,Sin Codigo Unico,0
8870,COMP CELERON 1GHZ CDRW XP,COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8865,IMP. STYLUS C-20 SX,EPSON,IMPRESORAS,,Sin Codigo Unico,0
8864,COMP PAVILION 7859 & MX50,HP,COMPUTADORAS,,Sin Codigo Unico,0
8858,SCANNER EPSON P640 U,EPSON,SCANNERS,,Sin Codigo Unico,0
8856,ICS X-83,LEXMARK,MULTIFUNCION,,Sin Codigo Unico,0
8855,ICS X-73,LEXMARK,MULTIFUNCION,,Sin Codigo Unico,0
8853,"COMP P4 1,4GHZ 256MB XP",COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8835,TEL.I.TC1703(900ID+SP)MOD,PANASONIC,TELEF.INALAMBRICOS,,Sin Codigo Unico,0
8833,COMP PAVILION 7949 & MX50,HP,COMPUTADORAS,,Sin Codigo Unico,0
8832,COMP PAVILION 7939 & MX50,HP,COMPUTADORAS,,Sin Codigo Unico,0
8827,SERV E-200 HP C/MONITOR,HP,COMPUTADORAS,,Sin Codigo Unico,0
8816,COMP PRESARIO 5650 LA,COMPAQ,COMPUTADORAS,,Sin Codigo Unico,0
8815,COMP PRESARIO 5640 LA,COMPAQ,COMPUTADORAS,,Sin Codigo Unico,0
8814,COMP PRESARIO 5630 LA,COMPAQ,COMPUTADORAS,,Sin Codigo Unico,0
8813,COMP PRESARIO 5625 LA,COMPAQ,COMPUTADORAS,,Sin Codigo Unico,0
8812,COMP PRESARIO 5315 LA,COMPAQ,COMPUTADORAS,,Sin Codigo Unico,0
8811,COMP PRESARIO 5300 LA,COMPAQ,COMPUTADORAS,,Sin Codigo Unico,0
8808,IMP. LASERJET 8150N,HP,IMPRESORAS,,Sin Codigo Unico,0
8803,SIST/AUDIO-FWD5 MOD,PHILIPS,SISTEMA DE AUDIO,,Sin Codigo Unico,0
8802,"TV 25"" 25-PT8-48",PHILIPS,TELEV.(COLOR C/REM.),,Sin Codigo Unico,0
8796,PROMO GAME VOICE EMPRESAS,MICROSOFT,JOYSTICKS,,Sin Codigo Unico,0
8792,AUDIO MX-J900,JVC,SISTEMA DE AUDIO,,Sin Codigo Unico,0
8791,"TV COLOR 21"" AV-T2122 MOD",JVC,TELEV.(COLOR C/REM.),,Sin Codigo Unico,0
8786,PROYECTOR MP-1800,COMPAQ,PROYECTORES,,Sin Codigo Unico,0
8785,PROYECTOR MP-1400,COMPAQ,PROYECTORES,,Sin Codigo Unico,0
8784,IMP. Z-53,LEXMARK,IMPRESORAS,,Sin Codigo Unico,0
8782,IMP. IJ-650,COMPAQ,IMPRESORAS,,Sin Codigo Unico,0
8781,"COMP P4 1,4GHZ 256MB CDRW",COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8780,COMP P4 1.3GHZ 256MB CDRW,COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8775,REPRODUCTOR DVD DVP-NS300,SONY,REPRODUCTOR DE DVD,,Sin Codigo Unico,0
8774,SIST/AUDIO MHC DP800,SONY,SISTEMA DE AUDIO,,Sin Codigo Unico,0
8771,KV-14FM12A,SONY,TELEV.(COLOR C/REM.),,Sin Codigo Unico,0
8748,COMP PIII 1GHZ (#600),COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8747,COMP CELERON 900 CDRW XP,COMMODORE,COMPUTADORAS,,Sin Codigo Unico,0
8745,SWITCH 3COM 24 BOCAS 3300,3COM,CONECTIVIDAD SWITCH.,,Sin Codigo Unico,0
8739,SCANNER ASTRA 2400SLT ADF,UMAX,SCANNERS,,Sin Codigo Unico,0
8732,IMP. BJC-55,CANON,IMPRESORAS,,Sin Codigo Unico,0
8731,SCANNER CANOSCAN D646 U,CANON,SCANNERS,,Sin Codigo Unico,0
8730,SCANNER CANOSCAN N640 P,CANON,SCANNERS,,Sin Codigo Unico,0
8727,SCANNER SCANJET 4470,HP,SCANNERS,,Sin Codigo Unico,0
8726,SCANNER SCANJET 4400 C,HP,SCANNERS,,Sin Codigo Unico,0
8725,DOCKING ARMADA EVO N-400,COMPAQ,DOCKING STATION,,Sin Codigo Unico,0
